Dépôt,Catégorie,Étoiles,Forks,Contributeurs,Mainteneur unique,Issues ouvertes,PR ouvertes,Commits 30j,Commits 90j,Commits 365j,Jours depuis dernier commit,Maintenance,Nb releases,Dernière release,Jours depuis release,Releases/an,Archivé,Licence,Compat. propriétaire,SECURITY.md,Advisories,Dependabot,Renovate,CI/CD,Santé %,Langage,URL projet,preuve_licence,preuve_activite
nickliqian/cnn_captcha,Laboratoire offensif,2879,785,6,non,84,13,1,1,1,2498,Dormant (>1 an),0,,,0,non,Apache-2.0,Compatible (permissive),non,0,non,non,non,42,Python,,https://github.com/nickliqian/cnn_captcha/blob/master/LICENSE,pushed_at=2022-12-08T05:22:24Z
QIN2DIM/hcaptcha-challenger,Laboratoire offensif,2344,430,11,non,42,3,1,1,30,146,Faible,9,v0.19.0,168,5,non,GPL-3.0,Incompatible distribution propriétaire,non,0,non,non,oui,57,Python,,https://github.com/QIN2DIM/hcaptcha-challenger/blob/main/LICENSE,pushed_at=2026-01-28T15:37:37Z
sarperavci/GoogleRecaptchaBypass,Laboratoire offensif,1785,279,3,non,16,4,2,5,16,17,Faible,0,,,0,non,AUCUNE-OSI,À valider (licence non standard / absente),non,0,non,non,non,28,Python,,https://github.com/sarperavci/GoogleRecaptchaBypass/blob/main/LICENSE,pushed_at=2026-06-04T23:48:08Z
microsoft/playwright,Industrialisation,91406,5953,470,non,145,35,224,834,2509,0,Active,100,v1.61.0,7,16,non,Apache-2.0,Compatible (permissive),oui,0,non,non,oui,87,TypeScript,https://playwright.dev,https://github.com/microsoft/playwright/blob/main/LICENSE,pushed_at=2026-06-22T17:38:48Z
prometheus/prometheus,Industrialisation,64700,10513,353,non,527,332,167,565,2056,0,Active,100,v3.13.0-rc.1,0,34,non,Apache-2.0,Compatible (permissive),oui,6,non,oui,oui,87,Go,https://prometheus.io/,https://github.com/prometheus/prometheus/blob/main/LICENSE,pushed_at=2026-06-22T16:24:02Z
grafana/k6,Industrialisation,30862,1562,238,non,711,59,79,278,1022,0,Active,90,v1.8.0,14,17,non,AGPL-3.0,Risque SaaS fort (copyleft réseau),non,0,non,oui,oui,87,Go,https://grafana.com/oss/k6/,https://github.com/grafana/k6/blob/master/LICENSE,pushed_at=2026-06-22T15:44:27Z
GoogleChrome/lighthouse,Industrialisation,30405,9724,361,non,401,17,35,80,222,3,Active,100,v13.4.0,12,13,non,Apache-2.0,Compatible (permissive),non,0,oui,non,oui,75,JavaScript,https://developer.chrome.com/docs/lighthouse/overview/,https://github.com/GoogleChrome/lighthouse/blob/main/LICENSE,pushed_at=2026-06-21T12:05:53Z
zaproxy/zaproxy,Industrialisation,15308,2580,236,non,818,40,26,71,350,0,Active,36,w2026-06-16,6,34,non,Apache-2.0,Compatible (permissive),oui,0,oui,non,oui,75,Java,https://www.zaproxy.org,https://github.com/zaproxy/zaproxy/blob/main/LICENSE,pushed_at=2026-06-22T08:35:05Z
dequelabs/axe-core,Industrialisation,7254,894,228,non,434,19,36,101,217,4,Active,100,v4.12.1,12,7,non,MPL-2.0,Compatible (permissive),oui,0,oui,non,oui,100,JavaScript,https://www.deque.com/axe/,https://github.com/dequelabs/axe-core/blob/develop/LICENSE,pushed_at=2026-06-18T18:16:29Z
open-telemetry/opentelemetry-collector,Industrialisation,7160,2116,409,non,616,68,68,244,1124,0,Active,100,v0.154.0,13,29,non,Apache-2.0,Compatible (permissive),non,1,non,oui,oui,87,Go,https://opentelemetry.io,https://github.com/open-telemetry/opentelemetry-collector/blob/main/LICENSE,pushed_at=2026-06-22T18:25:30Z
